Label,Start date,End date,Duration (days),Template size (px),Template size (m),Pixel spacing (px),Pixel spacing (m),Prefilter,Subpixel,Software,Vx,Vy,SAV-uncertainty-x,SAV-uncertainty-y,SAV-peak-x,SAV-peak-y,SAV-outlier-percent,pt0_vxavg,pt0_vxgps,pt0_vyavg,pt0_vygps,pt1_vxavg,pt1_vxgps,pt1_vyavg,pt1_vygps,pt2_vxavg,pt2_vxgps,pt2_vyavg,pt2_vygps,pt0_vxdiff,pt0_vxavgdiff,pt0_vydiff,pt0_vyavgdiff,pt1_vxdiff,pt1_vxavgdiff,pt1_vydiff,pt1_vyavgdiff,pt2_vxdiff,pt2_vxavgdiff,pt2_vydiff,pt2_vyavgdiff,pt0_vavg,pt0_vgps,pt0_vdiff,pt0_verr ,pt1_vavg,pt1_vgps,pt1_vdiff,pt1_verr ,pt2_vavg,pt2_vgps,pt2_vdiff,pt2_verr ,pt0_verr,pt1_verr,pt2_verr
LS8-20180304-20180405,20180304,20180405,32,,varying (240-480),,120,ITS_LIVE (5x5 Wallis operator),ITS_LIVE (16-node oversampling),ITS_LIVE (autoRIFT),/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/LC08_L1TP_061018_20180304_20200902_02_T1_X_LC08_L1TP_061018_20180405_20200901_02_T1_G0120V02_P068.nc_vx.tif,/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/LC08_L1TP_061018_20180304_20200902_02_T1_X_LC08_L1TP_061018_20180405_20200901_02_T1_G0120V02_P068.nc_vy.tif,54.6898472387492,44.43550088148372,-10.03659591652361,12.709057726210915,24.234743614739713,128.88888549804688,119.03453018006985,-145.22222900390625,115.01359989724733,-67.77777862548828,82.29949853055587,-105.88888549804688,113.98507517405505,110.625,,-103.25,,6.965469819930149,9.854355317977024,-37.98640010275267,-30.20862910665892,15.299498530555866,14.521719905067584,2.985075174055055,8.09618967600818,,,,,194.55555725097656,159.77094817889693,34.78460907207963,40.0,126.0,135.6948534240048,-9.694853424004805,37.55555725097656,151.625,,,41.5,40.0,37.55555725097656,41.5
LS8-20180405-20180421,20180405,20180421,16,,varying (240-480),,120,ITS_LIVE (5x5 Wallis operator),ITS_LIVE (16-node oversampling),ITS_LIVE (autoRIFT),/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/LC08_L1TP_061018_20180405_20200901_02_T1_X_LC08_L1TP_061018_20180421_20200901_02_T1_G0120V02_P049.nc_vx.tif,/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/LC08_L1TP_061018_20180405_20200901_02_T1_X_LC08_L1TP_061018_20180421_20200901_02_T1_G0120V02_P049.nc_vy.tif,139.11564778386023,121.72619181087768,37.1262759392107,-9.957908020263119,26.92653428127809,60.33333206176758,135.2788624879031,-3.6666667461395264,133.62165617330902,27.44444465637207,,-139.0,,,,,,-83.2788624879031,-74.94553042613552,140.62165617330902,129.9549894271695,,,,,,,,,61.33333206176758,187.4311634944719,-126.09783143270431,118.22222137451172,143.77777099609375,,,75.33333587646484,,,,,118.22222137451172,75.33333587646484,
LS8-20180421-20180523,20180421,20180523,32,,varying (240-480),,120,ITS_LIVE (5x5 Wallis operator),ITS_LIVE (16-node oversampling),ITS_LIVE (autoRIFT),/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/LC08_L1TP_061018_20180421_20200901_02_T1_X_LC08_L1TP_061018_20180523_20200901_02_T1_G0120V02_P023.nc_vx.tif,/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/LC08_L1TP_061018_20180421_20200901_02_T1_X_LC08_L1TP_061018_20180523_20200901_02_T1_G0120V02_P023.nc_vy.tif,136.50749745725778,81.16662010972085,6.2045264085221845,-4.689391823169132,16.207432527907308,,154.95471591624664,,151.54875913633532,,,,,,,,,,,,,,,,,,,,,,209.22157743245756,,,,,,,,,,,,,
LS8-20180523-20180608,20180523,20180608,16,,varying (240-480),,120,ITS_LIVE (5x5 Wallis operator),ITS_LIVE (16-node oversampling),ITS_LIVE (autoRIFT),/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/LC08_L1TP_061018_20180523_20200901_02_T1_X_LC08_L1TP_061018_20180608_20200831_02_T1_G0120V02_P039.nc_vx.tif,/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/LC08_L1TP_061018_20180523_20200901_02_T1_X_LC08_L1TP_061018_20180608_20200831_02_T1_G0120V02_P039.nc_vy.tif,84.6755005418857,71.44495358221604,7.938328175801786,-10.938328175801757,25.96590909090909,218.125,,-179.5,,,,,,,,,,,,,,,,,,,,,,287.875,,,70.875,,,,,,,,,70.875,,
LS8-20180412-20180428,20180412,20180428,16,,varying (240-480),,120,ITS_LIVE (5x5 Wallis operator),ITS_LIVE (16-node oversampling),ITS_LIVE (autoRIFT),/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/LC08_L1TP_062017_20180412_20200901_02_T1_X_LC08_L1TP_062017_20180428_20200901_02_T1_G0120V02_P091.nc_vx.tif,/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/LC08_L1TP_062017_20180412_20200901_02_T1_X_LC08_L1TP_062017_20180428_20200901_02_T1_G0120V02_P091.nc_vy.tif,103.47791768487576,96.80192299552894,46.36598141271389,-31.662002655326575,22.752202094066813,93.22222137451172,121.88629241180024,-48.0,122.01346632482455,,,,,,,,,-29.88629241180024,-28.664071037288522,65.01346632482455,74.01346632482455,,,,,,,,,105.66666412353516,166.47773358844142,-60.81106946490627,120.44444274902344,,,,,,,,,120.44444274902344,,
LS8-20180428-20180802,20180428,20180802,96,,varying (240-480),,120,ITS_LIVE (5x5 Wallis operator),ITS_LIVE (16-node oversampling),ITS_LIVE (autoRIFT),/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/LC08_L1TP_062017_20180428_20200901_02_T1_X_LC08_L1TP_062017_20180802_20200831_02_T1_G0120V02_P020.nc_vx.tif,/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/LC08_L1TP_062017_20180428_20200901_02_T1_X_LC08_L1TP_062017_20180802_20200831_02_T1_G0120V02_P020.nc_vy.tif,32.36846681024471,34.60077486612366,-29.34846208381842,1.6515379161815815,23.938584779706275,,164.2065083756946,,178.34741875751664,,,,,,,,,,,,,,,,,,,,,,233.19893669207553,,,,,,,,,,,,,
LS8-20180802-20180818,20180802,20180818,16,,varying (240-480),,120,ITS_LIVE (5x5 Wallis operator),ITS_LIVE (16-node oversampling),ITS_LIVE (autoRIFT),/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/LC08_L1TP_062017_20180802_20200831_02_T1_X_LC08_L1TP_062017_20180818_20200831_02_T1_G0120V02_P055.nc_vx.tif,/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/LC08_L1TP_062017_20180802_20200831_02_T1_X_LC08_L1TP_062017_20180818_20200831_02_T1_G0120V02_P055.nc_vy.tif,40.35395714351298,35.30971250057386,-20.783183482204336,-1.2610611607347835,30.545367564981664,42.55555725097656,158.36320122907637,-38.11111068725586,148.98904783435682,-79.55555725097656,131.80189209451783,-121.33333587646484,158.54979305991947,-59.16666793823242,,-40.33333206176758,,-125.36320122907637,-115.8076439780998,112.98904783435682,110.87793714710097,79.80189209451783,52.24633484354126,1.549793059919466,37.21645718345462,,,,,59.11111068725586,209.950294055578,-150.83918336832215,46.44444274902344,165.6666717529297,198.9985334199154,-33.3318616669857,45.88888931274414,73.5,,,47.33333206176758,46.44444274902344,45.88888931274414,47.33333206176758
LS8-20180818-20180903,20180818,20180903,16,,varying (240-480),,120,ITS_LIVE (5x5 Wallis operator),ITS_LIVE (16-node oversampling),ITS_LIVE (autoRIFT),/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/LC08_L1TP_062017_20180818_20200831_02_T1_X_LC08_L1TP_062017_20180903_20200831_02_T1_G0120V02_P080.nc_vx.tif,/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/LC08_L1TP_062017_20180818_20200831_02_T1_X_LC08_L1TP_062017_20180903_20200831_02_T1_G0120V02_P080.nc_vy.tif,43.38566683970623,43.385666839706225,0.19954436946062515,-3.8766777374018773,25.41811698785975,79.44444274902344,148.41194362175884,-90.33333587646484,147.19478575402718,-125.88888549804688,133.0836954593542,-170.88888549804688,163.31885667777897,,,,,-87.41194362175884,-68.9675008727354,61.19478575402718,56.861449877562336,-41.9163045406458,7.194809961307328,-71.68114332222103,-7.570028820267908,,,,,122.66666412353516,201.69699799045654,-79.03033386692138,48.44444274902344,213.0,203.33875840747976,9.661241592520241,48.33333206176758,,,,,48.44444274902344,48.33333206176758,
LS8-20180903-20181005,20180903,20181005,32,,varying (240-480),,120,ITS_LIVE (5x5 Wallis operator),ITS_LIVE (16-node oversampling),ITS_LIVE (autoRIFT),/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/LC08_L1TP_062017_20180903_20200831_02_T1_X_LC08_L1TP_062017_20181005_20200830_02_T1_G0120V02_P061.nc_vx.tif,/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/LC08_L1TP_062017_20180903_20200831_02_T1_X_LC08_L1TP_062017_20181005_20200830_02_T1_G0120V02_P061.nc_vy.tif,37.213387774984334,31.39879593514303,-14.814591839841306,4.83708163203174,31.19185192439526,39.0,113.51126114939689,-123.5,116.95839379749941,-160.11111450195312,87.10499602260825,-114.55555725097656,115.14603209902816,8.777777671813965,95.7249156380567,-100.66666412353516,113.3957924514516,,-74.51126114939689,,-6.5416062025005886,-77.89500397739175,-73.00611847934488,-3.8539679009718384,0.5904748480515991,-85.7249156380567,-86.94713796624274,20.395792451451598,12.729128327916442,129.5,157.32304204578344,-27.82304204578344,32.0,197.55555725097656,139.35273728560398,58.20281996537258,36.11111068725586,102.33333587646484,143.20838631934,-40.875050442875164,31.11111068725586,32.0,36.11111068725586,31.11111068725586
Sen2-20180306-20180316,20180306,20180316,10,,varying (240-480),,120,ITS_LIVE (5x5 Wallis operator),ITS_LIVE (16-node oversampling),ITS_LIVE (autoRIFT),/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2A_7VFH_20180306_0_L1C_X_S2A_7VFH_20180316_0_L1C_G0120V02_P091.nc_vx.tif,/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2A_7VFH_20180306_0_L1C_X_S2A_7VFH_20180316_0_L1C_G0120V02_P091.nc_vy.tif,100.22543238091087,84.56520857139354,44.92431333332425,5.132044761903472,24.211788896504455,152.22222900390625,,-81.55555725097656,,-13.44444465637207,73.39162374497391,-109.33333587646484,101.77971388658625,335.4444580078125,92.28579720458947,-84.77777862548828,103.84622187261994,,,,,64.39162374497391,59.94717908860184,10.77971388658625,-7.553621989878593,306.71420279541053,243.15866080322303,-28.153778127380065,19.068443247131654,173.22222900390625,,,95.0,111.44444274902344,121.11099277297643,-9.666550023952993,64.44444274902344,354.0,134.0685614386373,219.9314385613627,99.11111450195312,95.0,64.44444274902344,99.11111450195312
